external_gene_name	ensembl_gene_id
MYT1	ENSG00000276876
MAPK4	ENSG00000282110
CLK2	ENSG00000261893
HRAS	ENSG00000276536
STK19	ENSG00000236250
RAD17	ENSG00000276618
FAM20C	ENSG00000282147
TNF	ENSG00000228978
DDR1	ENSG00000223680
PTP4A3	ENSG00000275575
GPI	ENSG00000282019
CDK7	ENSG00000277273
PTPRC	ENSG00000262418
AGER	ENSG00000230514
PTPRK	ENSG00000273993
FAM20C	ENSG00000281429
AKT3	ENSG00000275199
TNF	ENSG00000204490
CSNK2B	ENSG00000230700
TNF	ENSG00000223952
MAPK15	ENSG00000274205
GRK1	ENSG00000281988
RPS6KA1	ENSG00000281877
AGER	ENSG00000229058
MAP3K14	ENSG00000282637
PRKY	ENSG00000099725
YES1	ENSG00000176105
AGER	ENSG00000231268
TNF	ENSG00000228849
CSNK2B	ENSG00000232960
CSNK2B	ENSG00000206406
DDR1	ENSG00000229767
AGER	ENSG00000237405
DYRK1B	ENSG00000281320
AGER	ENSG00000206320
TNF	ENSG00000228321
STK19	ENSG00000226033
MAPK4	ENSG00000141639
ROCK1	ENSG00000067900
AGER	ENSG00000234729
PTPRD	ENSG00000282932
PTEN	ENSG00000284792
DDR1	ENSG00000234078
PPM1A	ENSG00000100614
MAP4K1	ENSG00000282928
STK19	ENSG00000206342
STK19	ENSG00000226257
MNAT1	ENSG00000020426
RIOK3	ENSG00000101782
HUNK	ENSG00000142149
DDR1	ENSG00000215522
TGM2	ENSG00000198959
BRSK2	ENSG00000174672
PTPN2	ENSG00000175354
PRKX	ENSG00000183943
DUSP26	ENSG00000133878
PHLPP1	ENSG00000081913
TNK1	ENSG00000283781
DDR1	ENSG00000137332
PIM3	ENSG00000198355
TNF	ENSG00000230108
CSNK2B	ENSG00000224774
CSNK2B	ENSG00000224398
STK19	ENSG00000234947
PRKAR2B	ENSG00000284096
LYN	ENSG00000254087
EEF2K	ENSG00000284161
DDR1	ENSG00000230456
MOK	ENSG00000080823
RPS6KA5	ENSG00000100784
BLK	ENSG00000285369
MYO3A	ENSG00000095777
DYRK1A	ENSG00000157540
EIF2AK1	ENSG00000086232
CDKL5	ENSG00000008086
FAM20C	ENSG00000177706
OSR1	ENSG00000143867
CSNK2B	ENSG00000228875
TNF	ENSG00000206439
MAPK1	ENSG00000100030
PDP1	ENSG00000164951
ADCK5	ENSG00000285451
EPHA1	ENSG00000284816
INSR	ENSG00000171105
FAM20C	ENSG00000288499
PRKCE	ENSG00000171132
GRK1	ENSG00000288263
MATK	ENSG00000007264
GTF2H1	ENSG00000288114
TSSK4	ENSG00000285140
CTDNEP1	ENSG00000288307
TYR	ENSG00000077498
CAMK4	ENSG00000152495
NRK	ENSG00000123572
BACE2	ENSG00000182240
PRKACA	ENSG00000288516
EYA1	ENSG00000104313
PTK6	ENSG00000101213
RIPK3	ENSG00000285379
CHUK	ENSG00000213341
PDIK1L	ENSG00000175087
CHEK2	ENSG00000183765
CNKSR1	ENSG00000142675
MYLK2	ENSG00000101306
PPP2R1B	ENSG00000137713
SIK1	ENSG00000142178
PHKA1	ENSG00000067177
PTK2B	ENSG00000120899
EYA3	ENSG00000158161
EPHA2	ENSG00000142627
STK17A	ENSG00000164543
TSSK6	ENSG00000178093
BLVRA	ENSG00000106605
NIM1K	ENSG00000177453
LMTK2	ENSG00000164715
PAK5	ENSG00000101349
STK3	ENSG00000104375
PPM1B	ENSG00000138032
ALK	ENSG00000171094
MAPK12	ENSG00000188130
MAPK11	ENSG00000185386
TIE1	ENSG00000066056
PTPRO	ENSG00000151490
STK10	ENSG00000072786
TRPM6	ENSG00000119121
EIF2AK4	ENSG00000128829
PNCK	ENSG00000130822
GRK1	ENSG00000185974
FLT3	ENSG00000122025
STYK1	ENSG00000060140
MAP3K20	ENSG00000091436
STK38L	ENSG00000211455
SRPK3	ENSG00000184343
CSNK2A1	ENSG00000101266
RIOK1	ENSG00000124784
AURKA	ENSG00000087586
CSNK1A1L	ENSG00000180138
GPI	ENSG00000105220
PPP3CA	ENSG00000138814
STK38	ENSG00000112079
RPS6KA4	ENSG00000162302
TSSK4	ENSG00000139908
CRK	ENSG00000167193
CAMKK1	ENSG00000004660
STK17B	ENSG00000081320
PDGFRA	ENSG00000134853
RIPK3	ENSG00000129465
PIK3C3	ENSG00000078142
GRK5	ENSG00000198873
MAP4K2	ENSG00000168067
CCNE1	ENSG00000105173
HCK	ENSG00000101336
PPP2R5B	ENSG00000068971
CDC42BPG	ENSG00000171219
CDKL2	ENSG00000138769
CDC25B	ENSG00000101224
DAPK1	ENSG00000196730
BMX	ENSG00000102010
STK24	ENSG00000102572
TSSK2	ENSG00000206203
BRSK1	ENSG00000160469
BCR	ENSG00000186716
PTPRF	ENSG00000142949
RPL10	ENSG00000147403
OXSR1	ENSG00000172939
ADCK5	ENSG00000173137
MYLK3	ENSG00000140795
PTPRG	ENSG00000144724
PRKG1	ENSG00000185532
STK26	ENSG00000134602
TRIB3	ENSG00000101255
SYK	ENSG00000165025
SRMS	ENSG00000125508
PTPN13	ENSG00000163629
LATS2	ENSG00000150457
PKN2	ENSG00000065243
CTDSPL	ENSG00000144677
PTPRA	ENSG00000132670
MASTL	ENSG00000120539
MAPKAPK3	ENSG00000114738
MOS	ENSG00000172680
MAP2K5	ENSG00000137764
NDRG1	ENSG00000104419
PTPRH	ENSG00000080031
CTDSP2	ENSG00000175215
NEK3	ENSG00000136098
HSPB2	ENSG00000170276
DCLK2	ENSG00000170390
ULK3	ENSG00000140474
PPM1K	ENSG00000163644
PPP3CC	ENSG00000120910
PIKFYVE	ENSG00000115020
PTPN3	ENSG00000070159
MELK	ENSG00000165304
MAP3K8	ENSG00000107968
EPHA3	ENSG00000044524
PAK1	ENSG00000149269
PPM1H	ENSG00000111110
PPM1F	ENSG00000100034
NEK9	ENSG00000119638
MARK3	ENSG00000075413
HIPK2	ENSG00000064393
MAPK15	ENSG00000181085
PTPRR	ENSG00000153233
PTPRZ1	ENSG00000106278
GRK3	ENSG00000100077
NRBP2	ENSG00000185189
PTPN1	ENSG00000196396
SRC	ENSG00000197122
VRK3	ENSG00000105053
ARAF	ENSG00000078061
CDK9	ENSG00000136807
PDP2	ENSG00000172840
GRK6	ENSG00000198055
RHEB	ENSG00000106615
NEK5	ENSG00000197168
SGK3	ENSG00000104205
PRKAG2	ENSG00000106617
CSF1R	ENSG00000182578
PDGFRB	ENSG00000113721
HIPK4	ENSG00000160396
TLK1	ENSG00000198586
WNK4	ENSG00000126562
TGFBR2	ENSG00000163513
CDK19	ENSG00000155111
PKN1	ENSG00000123143
TESK1	ENSG00000107140
CDC14A	ENSG00000079335
MAP3K9	ENSG00000006432
RPS6KA2	ENSG00000071242
TAF1	ENSG00000147133
PKMYT1	ENSG00000127564
PPP1R3A	ENSG00000154415
PTPRE	ENSG00000132334
CDK8	ENSG00000132964
TTK	ENSG00000112742
SGK2	ENSG00000101049
RPS6KB1	ENSG00000108443
JAK2	ENSG00000096968
CDK6	ENSG00000105810
CDK17	ENSG00000059758
MAP2K6	ENSG00000108984
