"protein","peptide","logFC"
"FASN","FASN_S1174",6.18794378
"UGDH","UGDH_S476",6.88164488333334
"ADAM9","ADAM9_S799",5.69640573333334
"SYNJ2","SYNJ2_S1191",5.69785849333333
"SEC22B","SEC22B_S168",7.44905917
"SLC12A2","SLC12A2_S23",6.88469759666667
"GGA3","GGA3_S425",4.71284802666667
"CCDC120","CCDC120_S615",5.16527716333333
"PHLDB2","PHLDB2_S78",-6.14603646666667
"PGRMC2","PGRMC2_S104",6.30453491333334
"PPP1R12A","PPP1R12A_S908",3.97480074333333
"FLNB","FLNB_S983",-4.20442771666667
"PATL1","PATL1_T194",-4.77102851666667
"CEP170","CEP170_Y240",5.32657273333333
"MX1","MX1_S4",5.29940064666667
"VCL","VCL_S272",5.09441121333333
"VASP","VASP_S323",4.81024996333333
"EIF2S3","EIF2S3_S16",5.73060766333334
"TPX2","TPX2_S486",-4.41112009666667
"PPP1R12A","PPP1R12A_S910",3.98922475333333
"DYNC1LI1","DYNC1LI1_S421",-3.61372471
"CENPF","CENPF_S3094",-3.58981736666667
"KPNA2","KPNA2_S62",-3.75176874666667
"ARHGAP17","ARHGAP17_S161",5.28939310666667
"ARHGAP17","ARHGAP17_S162",5.26157156333333
"GBF1","GBF1_T1337",4.52439753000001
"TMEM237","TMEM237_S25",4.02228800666666
"OPRD1","OPRD1_S344",3.70437813
"ATG2A","ATG2A_S1402",5.67337131333334
"TEX264","TEX264_T238",4.73055012666667
"EEF2K","EEF2K_S18",-3.97817739333333
"TMF1","TMF1_S199",5.39487775
"EPB41L1","EPB41L1_S510",4.75269413333334
"VASP","VASP_T331",4.81724516666667
"CARMIL1","CARMIL1_T1228",-3.68660482
"JPT2","JPT2_S69",5.65791003
"KLC2","KLC2_S445",-3.15006319
"GPBP1","GPBP1_S380",-5.2998333
"GPBP1","GPBP1_S381",-5.30714304833334
"MBOAT7","MBOAT7_S459",6.50408395
"MAP7","MAP7_T277",-3.42296155333333
"KPNA2","KPNA2_T61",-3.66420554666667
"RSL1D1","RSL1D1_S467",-4.23892275333334
"MAP7","MAP7_S283",-5.26660696333334
"FAM50A","FAM50A_T164",-3.36001936666667
"SF3B1","SF3B1_T426",-3.62169138666667
"FAM50A","FAM50A_S165",-3.36448892333333
"RAB3GAP1","RAB3GAP1_S539",3.84781868666667
"TACC1","TACC1_S218",4.27849801666667
"OTUD4","OTUD4_S416",3.02313995
"HNRNPM","HNRNPM_S432",3.63928476666667
"TPX2","TPX2_T369",-4.11050097
"BAIAP2","BAIAP2_S263",3.68221219666667
"TNS4","TNS4_S196",-3.48327954666666
"HJURP","HJURP_S473",-3.41840871333333
"RANBP2","RANBP2_S1955",4.16493861333333
"PGRMC1","PGRMC1_T74",7.73731851666667
"DBN1","DBN1_S7",3.76720205666667
"VASP","VASP_S322",4.76243686333333
"TPX2","TPX2_S738",-4.12783940666667
"MSX1","MSX1_S152",-3.90514977666667
"SLC25A20","SLC25A20_S205",4.35895729
"TMC5","TMC5_S79",4.40498511333334
"BCAR1","BCAR1_S694",4.90330282666667
"DSTN","DSTN_S3",-3.91787719666667
"BLZF1","BLZF1_T13",-3.14872265
"MTDH","MTDH_S568",-4.31931082333333
"BLZF1","BLZF1_S15",-3.18737538666667
"BLZF1","BLZF1_S14",-3.18734677666667
"PRRC2C","PRRC2C_T2673",-3.75739606
"CDCA3","CDCA3_S29",-4.12758795333333
"LMTK2","LMTK2_S1450",-2.80804697666667
"CDR2L","CDR2L_S318",3.66336409333333
"ATG9A","ATG9A_S761",4.22145366666667
"HMGCR","HMGCR_S872",-3.63419596
"LRCH4","LRCH4_S506",2.82764911666667
"ITGB4","ITGB4_S1084",4.98210779666667
"PALM","PALM_S116",-3.56328424
"RBL1","RBL1_T369",-4.81888914166667
"CHAMP1","CHAMP1_S405",-2.97875150333333
"TAGLN2","TAGLN2_S163",5.39551925666666
"EPS8L1","EPS8L1_S118",4.29730383333333
"ATG9A","ATG9A_S759",4.18398125666666
"MTFR1L","MTFR1L_T44",4.96485869000001
"NOLC1","NOLC1_T188",-5.370710215
"RANBP2","RANBP2_S1953",3.98140812
"DYNC1LI1","DYNC1LI1_S419",-3.78472725833333
"TBC1D4","TBC1D4_S351",-3.51393572333333
"ASF1B","ASF1B_T179",-3.97259918500001
"TBC1D9B","TBC1D9B_S442",3.86961841
"LASP1","LASP1_T104",-3.03377151333333
"PRRC2B","PRRC2B_S558",-3.22505346666667
"MKNK1","MKNK1_T385",4.37631798
"SLC12A2","SLC12A2_T986",3.04083951333333
"RRP1B","RRP1B_S711",-2.53968079666666
"TMF1","TMF1_S197",4.51013024666667
"PRRC2B","PRRC2B_S556",-3.20465215
"DBN1","DBN1_S5",3.55345217666667
"PDXDC1","PDXDC1_T691",-3.36491585
